id,display_name,implemented_in_aimux,provider_kind,tier,protocol,openai_compatible,sources,base_urls,model_count,capabilities,audit_projects,audit_count,integration_candidate
cerebras,Cerebras,True,deployment_platform,L2,openai,True,,,12,chat,agentsdk;ai;aisuite;axonhub;bifrost;cline;continue;crewAI;ferro-ai-gateway;instructor;langchain;langchainjs;litellm;llama_index;llmgateway;manifest;mastra;oh-my-opencode-slim;opencode;opencodex;otari;pi;portkey-gateway;pydantic-ai;Roo-Code,25,
chat_gpt_subscription_codex,ChatGPT Subscription (Codex),False,model_vendor,unknown,unknown,,,https://chatgpt.com,0,chat,,,
chatgpt,Chatgpt,True,subscription_proxy,L2,openai,True,,,10,chat;responses,litellm;plano;rig,3,
cherryin,cherryin,False,model_vendor,unknown,unknown,,,,125,chat;completion;embedding;image_generation;rerank,,,
chutes,Chutes,False,model_vendor,L2,openai,True,,https://llm.chutes.ai/v1,43,chat,litellm;mastra;opencode;Roo-Code,4,
clarifai,Clarifai,True,model_vendor,L2,openai,True,,https://api.clarifai.com/v2/ext/openai/v1,12,chat,litellm;llama_index;mastra;opencode,4,
claudinio,Claudinio,False,model_vendor,unknown,unknown,,,https://api.claudin.io/v1,2,chat,mastra;opencode,2,
cline_pass,ClinePass,True,model_vendor,unknown,unknown,,,https://api.cline.bot/api/v1,11,chat,cline;manifest;mastra;opencode,4,
cloudferro_sherlock,CloudFerro Sherlock,False,model_vendor,unknown,unknown,,,https://api-sherlock.cloudferro.com/openai/v1,5,chat,mastra;opencode,2,
cloudflare,Cloudflare,False,cloud_platform,unknown,unknown,,,https://api.cloudflare.com,30,chat,aiproxy;continue;ferro-ai-gateway;higress;langchain;langchain4j;langchaingo;langchainjs;litellm;mastra;one-api;opencode;opencodex;pi;portkey-gateway;simple-one-api;uni-api,17,
cloudflare_ai_gateway,Cloudflare AI Gateway,False,model_vendor,unknown,unknown,,,,77,chat;embedding;rerank,agentsdk;llama_index;mastra;new-api;opencode;opencodex;pi,7,
cloudflare_workers_ai,Cloudflare Workers AI,False,model_vendor,unknown,unknown,,,https://api.cloudflare.com/client/v4/accounts/${CLOUDFLARE_ACCOUNT_ID}/ai/v1,22,chat,aiproxy;continue;ferro-ai-gateway;higress;langchain;langchain4j;langchaingo;langchainjs;litellm;mastra;one-api;opencode;opencodex;pi;portkey-gateway;simple-one-api;uni-api,17,
codestral,Codestral,True,model_vendor,L2,openai,True,,,2,chat,litellm,1,
cohere,Cohere,True,model_vendor,L1,cohere,False,,https://api.cohere.ai,29,chat;completion;embedding;rerank,agentsdk;ai;aider;aiproxy;aisuite;APIPark;awaken;bifrost;continue;edgequake-llm;envoy-ai-gateway;ferro-ai-gateway;graniet-llm;haystack;higress;instructor;instructor-go;langchain;langchain4j;langchaingo;langchainjs;litellm;llama_index;mastra;new-api;one-api;one-hub;opencode;otari;portkey-gateway;pydantic-ai;rig;rllm;rust-genai;textgrad;uni-api,36,
cohere_chat,Cohere Chat,False,model_vendor,unknown,unknown,,,,7,chat,litellm,1,
cometapi,Cometapi,True,model_vendor,L2,openai,True,,,0,chat,continue;haystack;litellm;llama_index;portkey-gateway,5,
copilot,GitHub Copilot,True,subscription_proxy,L2,openai,True,,https://api.githubcopilot.com,56,chat;completion;embedding;responses,agent-of-empires;agentsdk;ai.rs;aider;awaken;axonhub;litellm;manifest;oh-my-opencode-slim;opencode;opencode-ai;opencodex;pi;rig;rust-genai,15,
cortecs,Cortecs,False,model_vendor,unknown,unknown,,,https://api.cortecs.ai/v1,58,chat,mastra;opencode,2,
coze,Coze,True,gateway_aggregator,unknown,unknown,,,https://api.coze.cn,0,chat,aiproxy;coai;higress;new-api;one-api;one-hub,6,
crof,CrofAI,False,model_vendor,unknown,unknown,,,https://crof.ai/v1,26,chat,mastra;opencode,2,
crossmodel,CrossModel,False,model_vendor,unknown,unknown,,,https://api.crossmodel.ai/v1,46,chat,mastra;opencode,2,
crusoe,Crusoe,False,model_vendor,unknown,unknown,,,,7,chat,aisuite;langchain,2,
custom_provider,custom provider,False,model_vendor,unknown,unknown,,,,30,chat,awaken;claude-code-router;litellm;litellm-rust;llmgateway;manifest;one-api;one-hub;rust-genai;smg,10,
daoxe,DaoXE,False,model_vendor,unknown,unknown,,,https://daoxe.com/v1,9,chat,mastra;opencode,2,
darkbloom,Darkbloom,False,model_vendor,L2,openai,True,,,2,chat,litellm,1,
databricks,Databricks,True,cloud_platform,unknown,unknown,,,https://${databricks_host}/ai-gateway/mlflow/v1,58,chat;embedding,bifrost;dspy;ferro-ai-gateway;instructor;langchain;litellm;llama_index;mastra;one-hub;opencode;otari;uni-api,12,
dataforseo,Dataforseo,False,model_vendor,L3,unknown,,,,1,search,litellm,1,
datarobot,Datarobot,True,model_vendor,unknown,unknown,,,,0,chat,litellm,1,
deepgram,Deepgram,True,modal_service,L3,unknown,,,,36,audio_transcription,aisuite;litellm,2,
deepinfra,Deep Infra,True,deployment_platform,L2,openai,True,,,108,chat,agentsdk;ai;axonhub;continue;envoy-ai-gateway;ferro-ai-gateway;litellm;llama_index;LlamaIndexTS;llmgateway;mastra;opencode;otari;portkey-gateway;Roo-Code,15,
deepseek,DeepSeek,True,model_vendor,L2,openai,True,,https://api.deepseek.com,12,chat,ai;aider;aiproxy;aisuite;APIPark;awaken;axonhub;bifrost;ccs-nicremo;cc-switch;ccswitch-deepseek;chats;claude-code-router;cline;coai;continue;crewAI;eino;envoy-ai-gateway;ferro-ai-gateway;graniet-llm;helicone-ai-gateway;higress;instructor;langchain;langchainjs;langchain-rust;litellm;llama_index;LlamaIndexTS;llm-connector;llmgateway;llmrust;manifest;mastra;new-api;one-api;one-hub;opencode;opencodex;OpenHands;otari;pi;plano;portkey-gateway;pydantic-ai;rig;rllm;Roo-Code;rust-genai;simple-one-api;spring-ai;tensorzero;unia,54,
dify,Dify,False,gateway_aggregator,unknown,unknown,,,https://api.dify.ai,0,chat,cline;coai;higress;new-api;simple-one-api,5,
digitalocean,DigitalOcean,False,model_vendor,unknown,unknown,,,https://inference.do-ai.run/v1,82,chat;embedding;rerank,mastra;opencode;plano,3,
dinference,DInference,False,model_vendor,unknown,unknown,,,https://api.dinference.com/v1,6,chat,mastra;opencode,2,
docker_model_runner,Docker Model Runner,True,local_runtime,L2,openai,True,,,0,chat,litellm,1,
doubao,Doubao,False,model_vendor,unknown,unknown,,,,33,chat;embedding;image_generation;video_generation,aiproxy;axonhub;chats;cline;eino;higress;litellm;new-api;one-api;Roo-Code;simple-one-api,13,
doubao_video,DoubaoVideo,False,model_vendor,unknown,unknown,,,https://ark.cn-beijing.volces.com,0,chat,,,
drun,D.Run (China),False,model_vendor,unknown,unknown,,,https://chat.d.run/v1,3,chat,mastra;opencode,2,
duckduckgo,Duckduckgo,False,model_vendor,L3,unknown,,,,1,search,litellm,1,
ebcloud,EBCloud,False,model_vendor,unknown,unknown,,,https://maas-api.ebcloud.com/v1,4,chat,mastra;opencode,2,
elevenlabs,Elevenlabs,True,modal_service,L3,unknown,,,,4,audio_speech;audio_transcription,bifrost;graniet-llm;litellm;llmgateway;rllm;spring-ai,6,
empiriolabs,EmpirioLabs AI,False,model_vendor,unknown,unknown,,,https://api.empiriolabs.ai/v1,36,chat,langchain;mastra;opencode,3,
empower,Empower,False,model_vendor,L2,openai,True,,,0,chat,litellm,1,
evroc,evroc,False,model_vendor,unknown,unknown,,,https://models.think.evroc.com/v1,21,chat;embedding,mastra;opencode,2,
exa_ai,EXA AI,False,model_vendor,L3,unknown,,,,1,search,litellm,1,
fal,FAL,True,model_vendor,L3,unknown,,,,14,image_generation,edgequake-llm,1,
fastgpt,FastGPT,True,model_vendor,unknown,unknown,,,https://fastgpt.run/api/openapi,0,chat,one-api,1,
fastrouter,FastRouter,True,model_vendor,unknown,unknown,,,https://go.fastrouter.ai/api/v1,47,chat;image_generation,mastra;opencode,2,
featherless_ai,Featherless AI,True,model_vendor,L2,openai,True,,,2,chat,langchain;litellm;portkey-gateway,3,
firecrawl,Firecrawl,False,model_vendor,L3,unknown,,,,1,search,litellm,1,
firepass,Fireworks (Firepass),False,model_vendor,unknown,unknown,,,https://api.fireworks.ai/inference/v1,1,chat,opencodex,1,
fireworks,Fireworks AI,True,deployment_platform,L2,openai,True,,https://api.fireworks.ai/inference/v1,318,audio_transcription;chat;embedding;image_generation;rerank,ai;aisuite;APIPark;awaken;axonhub;bifrost;continue;ferro-ai-gateway;higress;instructor;langchain;langchainjs;litellm;llama_index;LlamaIndexTS;llmgateway;manifest;mastra;oh-my-opencode-slim;opencode;opencodex;otari;pi;portkey-gateway;pydantic-ai;Roo-Code;rust-genai;tensorzero;unia,29,
freemodel,FreeModel,False,model_vendor,unknown,unknown,,,https://cc.freemodel.dev/v1,10,chat,mastra;opencode,2,
friendliai,Friendli,True,model_vendor,L2,openai,True,,https://api.friendli.ai/serverless/v1,11,chat,litellm,1,
frogbot,FrogBot,False,model_vendor,unknown,unknown,,,https://app.frogbot.ai/api/v1,26,chat,mastra;opencode,2,
galadriel,Galadriel,True,model_vendor,L2,openai,True,,,0,chat,litellm,1,
gdc,GDC,True,model_vendor,unknown,unknown,,,,0,chat,litellm,1,
gigachat,Gigachat,True,model_vendor,unknown,unknown,,,,6,chat;embedding,litellm;llama_index,2,
github,GitHub Models,True,model_vendor,L2,openai,True,,https://models.github.ai/inference,55,chat,axonhub;chats;higress;langchain4j;litellm;mastra;one-hub;opencode;plano;portkey-gateway,10,
gitlab,GitLab Duo,False,cloud_platform,unknown,unknown,,,,18,chat,agentsdk;opencode,2,
gmi,GMI,False,model_vendor,unknown,unknown,,,,17,chat,mastra;opencode,2,
gmicloud,GMI Cloud,False,model_vendor,unknown,unknown,,,https://api.gmi-serving.com/v1,13,chat,mastra;opencode,2,
google,Google,True,model_vendor,L1,google_gemini,False,,https://generativelanguage.googleapis.com,114,audio_speech;chat;embedding;image_generation;realtime;video_generation,agent-of-empires;agentsdk;ai;aider;aiproxy;aisuite;APIPark;async-openai;autogen;awaken;axonhub;bifrost;CCSwitcher;chats;claude-code-router;claude-worker-proxy;cline;continue;crewAI;dspy;edgequake-llm;eino;ferro-ai-gateway;graniet-llm;haystack;helicone-ai-gateway;higress;instructor;instructor-go;langchain;langchain4j;LangChain-csharp;langchainjs;langchain-swift;litellm;litellm-rust;llama_index;LlamaIndexTS;llm-connector;llmrust;manifest;mastra;mirascope;new-api;oh-my-opencode-slim;one-api;one-hub;opencode;opencode-ai;opencodex;OpenHands;otari;outlines;pi;plano;portkey-gateway;rig;rllm;Roo-Code;rust_ai_sdk;rust-genai;semantic-kernel;simple-one-api;smg;spring-ai;swiftide;textgrad;unia;uni-api,73,
google_pse,Google PSE,False,model_vendor,L3,unknown,,,,1,search,litellm,1,
google_vertex,Vertex,False,model_vendor,unknown,unknown,,,,35,chat;embedding,agentsdk;ai;aider;aiproxy;APIPark;awaken;bifrost;cc-switch;cline;continue;dspy;edgequake-llm;ferro-ai-gateway;haystack;higress;instructor;langchain;langchaingo;langchainjs;litellm;llama_index;llmgateway;mastra;new-api;one-api;one-hub;opencode;opencode-ai;opencodex;OpenHands;otari;pi;portkey-gateway;rig;Roo-Code;rust-genai;semantic-kernel;simple-one-api;traceloop-hub,39,
google_vertex_anthropic,Vertex (Anthropic),False,model_vendor,unknown,unknown,,,,11,chat,agent-of-empires;agentsdk;ai;ai.rs;aider;aiproxy;aisuite;APIPark;async-anthropic;autogen;AutoGPT;awaken;axonhub;bifrost;chats;claude-code-router;cline;coai;continue;crewAI;dspy;edgequake-llm;eino;envoy-ai-gateway;ferro-ai-gateway;graniet-llm;haystack;helicone-ai-gateway;higress;instructor;instructor-go;kalosm;langchain;langchain4j;LangChain-csharp;langchaingo;langchainjs;langchain-rust;litellm;litellm-rust;llama_index;LlamaIndexTS;llm-connector;llmgateway;llmrust;manifest;mastra;mirascope;multi-llm;new-api;oh-my-opencode-slim;one-api;one-hub;opencode;opencode-ai;opencodex;OpenHands;otari;outlines;pi;pinchbench;plano;portkey-gateway;pydantic-ai;rig;rllm;Roo-Code;rust_ai_sdk;rust-genai;semantic-kernel;simple-one-api;smg;spring-ai;swiftide;tensorzero;textgrad;traceloop-hub;unia;uni-api,85,
gradient_ai,Gradient AI,True,model_vendor,unknown,unknown,,,,13,chat,litellm,1,
groq,Groq,True,model_vendor,L2,openai,True,,https://api.groq.com/openai/v1,33,audio_speech;audio_transcription;chat,agentsdk;ai;aider;aiproxy;aisuite;APIPark;AutoGPT;awaken;bifrost;cline;coai;continue;envoy-ai-gateway;ferro-ai-gateway;graniet-llm;helicone-ai-gateway;higress;instructor;langchain;langchainjs;litellm;llama_index;LlamaIndexTS;llmgateway;manifest;mastra;one-api;one-hub;opencode;opencode-ai;opencodex;OpenHands;otari;pi;plano;portkey-gateway;pydantic-ai;rig;rllm;Roo-Code;rust-genai;simple-one-api;swiftide;tensorzero;textgrad;unia,46,
helicone,Helicone,True,gateway_aggregator,L4,mixed,True,,https://ai-gateway.helicone.ai/v1,90,chat,litellm;llama_index;mastra;opencode,4,
heroku,Heroku,True,model_vendor,unknown,unknown,,,,27,chat,litellm;llama_index;pydantic-ai,3,
hetzner,Hetzner,False,model_vendor,unknown,unknown,,,https://inference.hetzner.com/api/v1,1,chat,mastra;opencode,2,
hosted_vllm,Hosted Vllm,True,deployment_platform,L2,openai,True,,,0,chat,litellm,1,
hpc_ai,HPC-AI,False,model_vendor,unknown,unknown,,,https://api.hpc-ai.com/inference/v1,9,chat,mastra;opencode,2,
huggingface,Hugging Face,True,deployment_platform,unknown,unknown,,,https://router.huggingface.co/v1,57,chat;embedding,ai;aisuite;bifrost;cline;continue;edgequake-llm;ferro-ai-gateway;graniet-llm;haystack;langchain;langchain4j;LangChain-csharp;langchaingo;langchain-swift;litellm;llama_index;LlamaIndexTS;manifest;mastra;opencode;opencodex;otari;pi;portkey-gateway;pydantic-ai;rig;rllm;Roo-Code;semantic-kernel;semantic-kernel-java,32,
hyper,Charm Hyper,False,model_vendor,unknown,unknown,,,https://hyper.charm.land/v1,20,chat,mastra;opencode,2,
hyperbolic,Hyperbolic,True,deployment_platform,L2,openai,True,,,16,chat,helicone-ai-gateway;litellm;portkey-gateway;rig;tensorzero;unia,6,
iflowcn,iFlow,False,model_vendor,unknown,unknown,,,https://apis.iflow.cn/v1,14,chat,mastra;opencode,2,
inception,Inception,True,model_vendor,L2,openai,True,,https://api.inceptionlabs.ai/v1,3,chat,aisuite;continue;litellm;mastra;opencode;otari,6,
inceptron,Inceptron,False,model_vendor,unknown,unknown,,,https://api.inceptron.io/v1,7,chat,mastra;opencode,2,
inference_net,Inference,True,model_vendor,unknown,unknown,,,https://inference.net/v1,9,chat;embedding,llmgateway;portkey-gateway,2,
inferencehub,InferenceHub,True,gateway_aggregator,L2,openai,True,,https://app.inferencehub.tech/v1,43,chat;embedding;image_generation;rerank,,,
inferx,InferX,False,model_vendor,unknown,unknown,,,https://model.inferx.net/endpoints/v1,6,chat,mastra;opencode,2,
io_net,IO.NET,False,model_vendor,unknown,unknown,,,https://api.intelligence.io.solutions/api/v1,17,chat,mastra;opencode,2,
jiekou,Jiekou.AI,False,model_vendor,unknown,unknown,,,https://api.jiekou.ai/openai,153,chat,mastra;opencode,2,
jimeng,Jimeng,False,model_vendor,unknown,unknown,,,https://visual.volcengineapi.com,0,chat,new-api,1,
jina,Jina,False,embedding,unknown,unknown,,,https://api.jina.ai,0,chat,aiproxy;axonhub;edgequake-llm;haystack;new-api;one-hub;portkey-gateway,7,
jina_ai,Jina AI,False,model_vendor,L3,unknown,,,,1,rerank,litellm,1,
kenari,Kenari,False,model_vendor,unknown,unknown,,,https://kenari.id/v1,38,chat,mastra;opencode,2,
kilo,Kilo Gateway,True,model_vendor,unknown,unknown,,,https://api.kilo.ai/api/gateway,346,chat;image_generation,cline;manifest;mastra;opencode;opencodex;pinchbench,6,
